Current Time, People in lift, Current lift state, Current lift floor, Current lift route, Lift call queue
10, 1, 2, 2, 1, 
20, 2, 2, 1, 9, 
90, 6 8 5 2 4 7, 3, 8, 9 10 4 3 2, 10
100, 6 8 5 4 7, 3, 9, 10 4 3 2, 10 2
110, 6 8 5 3, 3, 10, 5 4 3 2, 3 2
130, 12 6 8 5 3, 3, 8, 6 5 4 3 2 1, 6 3 2
150, 12 6 11 8 5 3, 3, 6, 5 4 3 2 1, 5 3 2 1
160, 12 6 11 8 5 14, 3, 5, 4 3 2 1 6, 3 2 1 6
170, 12 6 11 8 14, 3, 4, 3 2 1 6, 3 2 1 6
180, 12 6 11 14 10, 3, 3, 2 1 6 7 9, 2 1 6 9
190, 12 9 14 10, 3, 2, 1 3 6 7 9, 1 3 6 9
200, 14 10 13, 3, 1, 2 3 6 7 9, 2 3 6 9
210, 14 18 10 13 19, 3, 2, 3 6 7 9, 3 6 9
220, 14 18 10 17 13 19 20, 3, 3, 6 7 9 10, 6 9
250, 10 17 15 13 19 20, 3, 6, 7 8 9 10, 7 9 10
260, 23 15 13 19 20, 3, 7, 8 9 10 2, 8 9 10 2
270, 23 24 13 19 20, 3, 8, 9 10 7 2, 9 10 2
280, 23 16 22 24 20, 3, 9, 10 7 6 4 2, 10 6 2
290, 23 16 22 21 24, 3, 10, 7 6 5 4 2, 6 2
320, 23 16 22 21, 3, 7, 6 5 4 2 9, 6 4 2 9
330, 23 30 16 22 21 26, 3, 6, 5 4 3 2 9, 4 2 9
340, 23 30 16 22, 3, 5, 4 3 2 9 10, 4 2 9 10
350, 23 30 28, 3, 4, 3 2 7 8 9 10, 2 7 9 10
360, 23 28, 3, 3, 2 4 7 8 9 10, 2 4 7 9 10
370, 27 28 25, 3, 2, 4 7 8 9 10, 4 7 8 9 10
390, 33 27 28 25, 3, 4, 5 7 8 9 10 2, 5 7 8 9 10
400, 33 36 27 28 25, 3, 5, 7 8 9 10 3 2, 7 8 9 10 2
420, 33 36 28 25 32, 3, 7, 8 9 10 6 5 3 2, 8 9 10 6 5 2
430, 33 40 36 34 25 32, 3, 8, 9 10 7 6 5 3 2, 9 10 6 5 3 2
440, 33 40 36 34 29 32 35, 3, 9, 10 7 6 5 4 3 2, 10 6 5 4 3 2
450, 43 33 40 36 31 34 29, 3, 10, 7 6 5 4 3 2 1, 6 5 4 3 2
480, 43 33 40 36 31 44, 3, 7, 6 5 4 3 2 1, 6 5 4 3 2
490, 43 33 40 36 31 44 46 39, 4, 6, 5 4 3 2 1, 5 4 3 2
500, 43 33 40 36 31 44 46 38, 4, 5, 4 3 2 1, 4 3 2 6
510, 43 33 40 36 31 44 48 42, 4, 4, 3 2 1 7 10, 3 2 5 6 10
520, 43 33 40 48 41 42, 3, 3, 2 1 5 6 7 9 10, 2 5 6 10
530, 43 37 50 48 41 42, 3, 2, 1 5 6 7 9 10, 5 6 10
540, 37 50 48 41 42, 3, 1, 5 6 7 9 10, 5 6 10
580, 50 48 45 41 42, 3, 5, 6 7 9 10, 6 10
590, 48 45 41 47 42, 3, 6, 7 9 10, 10
600, 41 47 42, 3, 7, 9 10, 10
620, 42, 3, 9, 10, 10
630, 49, 2, 10, 7, 
660, , 0, 7, , 
